"CASTEL","IP","MAC","Port11100","Port5985","AuthWinRM","User","Hostname","Whoami","OS","Error","DurationSec"
"CASTEL-11","192.168.0.219","08-BF-B8-36-6B-5A","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.219. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,02"
"CASTEL-12","192.168.0.112","08-BF-B8-6E-20-29","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.112. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,02"
"CASTEL-13","192.168.0.113","08-BF-B8-36-6B-4A","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.113. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,03"
"CASTEL-14","192.168.0.114","30-9C-23-D4-B9-D2","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.114. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,02"
"CASTEL-15","192.168.0.115","08-BF-B8-A3-8B-87","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.115. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,01"
"CASTEL-16","192.168.0.116","08-BF-B8-A3-8A-3C","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.116. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,03"
"CASTEL-18","192.168.0.118","08-BF-B8-A3-8B-32","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.118. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,04"
"CASTEL-19","192.168.0.153","08-BF-B8-A3-89-FB","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.153. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,02"
"CASTEL-20","192.168.0.120","08-BF-B8-A2-2B-5F","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.120. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,03"
"CASTEL-21","192.168.0.121","08-BF-B8-A2-2B-19","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.121. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,03"
"CASTEL-22","192.168.0.122","08-BF-B8-6E-1F-F0","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.122. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,02"
"CASTEL-23","192.168.0.123","30-9C-23-0C-68-CD","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.123. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,01"
"CASTEL-24","192.168.0.124","08-BF-B8-6E-20-45","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.124. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,03"
"CASTEL-25","192.168.0.125","08-BF-B8-6E-20-F3","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.125. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,03"
"CASTEL-26","192.168.0.126","08-BF-B8-6E-20-4B","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.126. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,02"
"CASTEL-27","192.168.0.127","08-BF-B8-6E-1F-F5","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.127. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,03"
"CASTEL-28","192.168.0.180","04-7C-16-BD-C2-C6","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.180. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,02"
"CASTEL-29","192.168.0.129","04-7C-16-BD-C2-CF","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.129. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,03"
"CASTEL-30","192.168.0.130","04-7C-16-BD-C3-2F","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.130. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,03"
"CASTEL-31","192.168.0.131","04-7C-16-BD-C2-9C","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.131. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,02"
"CASTEL-32","192.168.0.132","04-7C-16-BD-C2-94","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.132. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,03"
"CASTEL-34","192.168.0.134","08-BF-B8-A3-8A-CD","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.134. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,03"
"CASTEL-35","192.168.0.135","08-BF-B8-BE-76-FC","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.135. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,02"
"CASTEL-36","192.168.0.136","08-BF-B8-BE-77-0D","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.136. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,02"
"CASTEL-37","192.168.0.137","08-BF-B8-A3-8B-95","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.137. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,01"
"CASTEL-38","192.168.0.144","04-7C-16-BD-C2-AD","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.144. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,04"
"CASTEL-39","192.168.0.139","08-BF-B8-BE-76-3A","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.139. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,03"
"CASTEL-40","192.168.0.157","30-9C-23-09-06-4C","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.157. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,01"
"CASTEL-41","192.168.0.246","30-9C-23-AA-BF-D8","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.246. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,03"
